Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
67,Spider-Man: Homecoming,880166924,334201140,545965784,2017.csv,2017,0.37970199843592395,0.620298001564076
68,Harry Potter and the Chamber of Secrets,878979634,261988482,616991152,2002.csv,2002,0.2980597864455185,0.7019402135544816
69,Jurassic World Dominion,878857710,352844710,526013000,2022.csv,2022,0.4014810429324219,0.5985189570675781
70,Ice Age: Continental Drift,877244782,161321843,715922939,2012.csv,2012,0.18389604168657225,0.8161039583134277
71,The Secret Life of Pets,875457937,368384330,507073607,2016.csv,2016,0.42079043941548044,0.5792095605845196
72,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016.csv,2016,0.3781444477724682,0.6218555522275317
73,Finding Nemo,871014978,339714978,531300000,2003.csv,2003,0.3900219704373442,0.6099780295626558
74,Wolf Warrior 2,870325439,2721100,867604339,2017.csv,2017,0.003126531614572282,0.9968734683854277
75,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,488081953,2005.csv,2005,0.437921885250913,0.562078114749087
76,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013.csv,2013,0.490939052520103,0.5090609474798969
77,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017.csv,2017,0.4512999944240043,0.5487000055759956
78,Inside Out,857611174,356461711,501149463,2015.csv,2015,0.4156449004009829,0.5843550995990171
79,Venom,856085151,213515506,642569645,2018.csv,2018,0.24940919224050412,0.7505908077594958
80,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017,0.36893059475225337,0.6310694052477467
81,Transformers: Revenge of the Fallen,836303693,402111870,434191823,2009.csv,2009,0.4808203925986968,0.5191796074013032
82,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,2012.csv,2012,0.35230594436023266,0.6476940556397673
83,Inception,826137188,292576195,533560993,2010.csv,2010,0.3541496488111125,0.6458503511888876
84,"Hi, Mom",822009764,0,822009764,2021.csv,2021,0.0,1.0
85,Wonder Woman,821847012,412563408,409283604,2017.csv,2017,0.501995385973369,0.49800461402663104
86,Spider-Man,821708551,403706375,418002176,2002.csv,2002,0.4913011730359856,0.5086988269640144
87,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,2016.csv,2016,0.287502177034027,0.7124978229659731
88,Shrek the Third,813367380,322719944,490647436,2007.csv,2007,0.3967702073323865,0.6032297926676135
89,Coco,807816196,210460015,597356181,2017.csv,2017,0.2605295809147159,0.7394704190852841
90,Jumanji: The Next Level,800059707,320314960,479744747,2019.csv,2019,0.4003638193467978,0.5996361806532021
91,Harry Potter and the Prisoner of Azkaban,795634069,249541069,546093000,2004.csv,2004,0.31363798852107727,0.6863620114789227
92,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017.csv,2017,0.21709293024593404,0.782907069754066
93,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018,0.27828959766643513,0.7217104023335649
94,Indiana Jones and the Kingdom of the Crystal Skull,790653942,317101119,473552823,2008.csv,2008,0.40106183268735285,0.5989381673126472
